,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
53570,12349889,JE210850,04/14/2021 11:30:00 PM,013XX W NORTH SHORE AVE,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,2432,24,49.0,1,06,1166123.0,1944574.0,2021,04/28/2021 04:51:49 PM,42.003494257,-87.664186966,"(42.003494257, -87.664186966)"
34099,12314580,JE168064,03/13/2021 04:31:00 PM,099XX S MAY ST,0560,ASSAULT,SIMPLE,STREET,False,False,2232,22,34.0,73,08A,1170418.0,1838602.0,2021,03/20/2021 04:52:03 PM,41.712605327,-87.65148198799999,"(41.712605327, -87.651481988)"
8845,12276731,JE121214,01/10/2021 12:00:00 AM,109XX S CAMPBELL AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,2212,22,19.0,75,11,1161664.0,1831833.0,2021,01/26/2021 03:48:59 PM,41.694215775,-87.68372899200001,"(41.694215775, -87.683728992)"
37906,12320791,JE175735,03/21/2021 11:08:00 PM,067XX N CALIFORNIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,True,2412,24,50.0,2,08B,1156443.0,1944528.0,2021,03/28/2021 04:57:44 PM,42.003570105,-87.699800669,"(42.003570105, -87.699800669)"
4359,12265854,JE108589,01/10/2021 07:19:00 AM,051XX W HIRSCH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,2533,25,37.0,25,14,1141676.0,1908825.0,2021,01/17/2021 03:49:56 PM,41.905884855,-87.75501502,"(41.905884855, -87.75501502)"
45903,12333116,JE190731,04/06/2021 12:21:00 AM,034XX W 15TH ST,0461,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY",SIDEWALK,True,False,1021,10,24.0,29,04B,1153519.0,1892492.0,2021,04/13/2021 05:27:07 PM,41.86083809,-87.711945524,"(41.86083809, -87.711945524)"
39814,12328333,JE184812,03/24/2021 10:44:00 PM,055XX N NORTHWEST HWY,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT / GARAGE (NON RESIDENTIAL),False,True,1622,16,45.0,11,14,1134225.0,1936740.0,2021,04/01/2021 05:01:37 PM,41.982621207,-87.781725783,"(41.982621207, -87.781725783)"
20917,12293804,JE142701,02/15/2021 08:30:00 PM,045XX W WEST END AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,1113,11,28.0,26,06,1145975.0,1900587.0,2021,02/22/2021 03:49:17 PM,41.883198249,-87.73943254,"(41.883198249, -87.73943254)"
395,12259660,JE101292,01/01/2021 11:30:00 AM,035XX W FLOURNOY ST,0810,THEFT,OVER $500,APARTMENT,False,False,1133,11,24.0,27,06,1152849.0,1896802.0,2021,01/16/2021 03:49:23 PM,41.872678492,-87.714290873,"(41.872678492, -87.714290873)"
43984,12330181,JE186918,04/02/2021 08:20:00 AM,077XX S SANGAMON ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,621,6,17.0,71,04B,1171319.0,1853422.0,2021,04/09/2021 05:06:35 PM,41.75325385,-87.647749921,"(41.75325385, -87.647749921)"
23988,12299036,JE149436,02/23/2021 02:25:00 AM,008XX W 84TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,613,6,21.0,71,14,1172001.0,1849147.0,2021,03/02/2021 03:50:05 PM,41.741507749,-87.645375909,"(41.741507749, -87.645375909)"
57089,12351145,JE212537,04/28/2021 03:56:00 AM,041XX N WESTERN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,AUTO / BOAT / RV DEALERSHIP,False,False,1911,19,47.0,5,14,1159626.0,1927638.0,2021,05/05/2021 04:52:00 PM,41.957157983,-87.688558225,"(41.957157983, -87.688558225)"
9377,12274374,JE118522,01/20/2021 02:00:00 PM,002XX E OHIO ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1834,18,42.0,8,11,1177936.0,1904246.0,2021,01/27/2021 03:54:59 PM,41.892571810999996,-87.621959165,"(41.892571811, -87.621959165)"
17505,12288236,JE135447,02/07/2021 07:40:00 PM,027XX W WASHINGTON BLVD,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,1222,12,27.0,27,04B,1158019.0,1900568.0,2021,02/14/2021 03:47:33 PM,41.882908875,-87.69520657700001,"(41.882908875, -87.695206577)"
2770,12266587,JE109416,01/08/2021 12:00:00 AM,004XX W BLACKHAWK ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1821,18,2.0,8,11,1173177.0,1910279.0,2021,01/16/2021 03:49:23 PM,41.90923363,-87.639257611,"(41.90923363, -87.639257611)"
42833,12329522,JE185961,03/31/2021 09:00:00 PM,057XX N RIDGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2013,20,48.0,77,14,1165833.0,1938527.0,2021,04/07/2021 05:14:05 PM,41.98690736,-87.665427382,"(41.98690736, -87.665427382)"
43736,12330521,JE187390,04/02/2021 03:45:00 PM,052XX S HARPER AVE,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,False,False,234,2,4.0,41,08B,1187173.0,1870674.0,2021,04/09/2021 05:06:35 PM,41.800233416,-87.58910448700001,"(41.800233416, -87.589104487)"
10375,12277359,JE121931,01/22/2021 01:00:00 PM,043XX S HERMITAGE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,924,9,15.0,61,11,1165407.0,1875855.0,2021,01/29/2021 03:46:26 PM,41.814940087,-87.668779824,"(41.814940087, -87.668779824)"
18880,12292536,JE140642,02/12/2021 09:00:00 PM,007XX W WELLINGTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1934,19,44.0,6,14,1170884.0,1920177.0,2021,02/19/2021 03:48:53 PM,41.936444826999995,-87.64739014,"(41.936444827, -87.64739014)"
30719,12311671,JE164607,03/07/2021 03:00:00 PM,052XX N ROCKWELL ST,0820,THEFT,$500 AND UNDER,STREET,False,False,2011,20,40.0,4,06,1158077.0,1934561.0,2021,03/14/2021 04:50:05 PM,41.976186904,-87.694062929,"(41.976186904, -87.694062929)"
39737,12324037,JE179530,03/25/2021 12:00:00 PM,056XX S CLAREMONT AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,824,8,15.0,63,06,1161718.0,1867168.0,2021,04/01/2021 05:04:48 PM,41.791179359000004,-87.682552909,"(41.791179359, -87.682552909)"
12427,12282144,JE127737,01/24/2021 12:00:00 AM,034XX N LAKE SHORE DR,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1925,19,44.0,6,11,1172628.0,1922979.0,2021,02/02/2021 03:46:23 PM,41.944095146,-87.640897619,"(41.944095146, -87.640897619)"
21815,12300865,JE151626,02/01/2021 12:00:00 AM,034XX N NATCHEZ AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1632,16,38.0,17,11,1132432.0,1922204.0,2021,02/27/2021 03:44:15 PM,41.942764438000005,-87.78865997,"(41.942764438, -87.78865997)"
28680,12310240,JE162878,01/27/2021 04:00:00 PM,047XX S DREXEL BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,222,2,4.0,39,11,1183118.0,1873746.0,2021,03/10/2021 03:46:08 PM,41.808758607,-87.603879586,"(41.808758607, -87.603879586)"
22277,12296126,JE145607,02/19/2021 09:33:00 AM,002XX W MADISON ST,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,False,False,122,1,42.0,32,06,1174636.0,1900346.0,2021,02/26/2021 03:47:53 PM,41.881944424000004,-87.634195294,"(41.881944424, -87.634195294)"
